id,key,value,type
12200115,county,"Honolulu, HI",tiger
12200115,source,tiger_import_dch_v0.6_20070809,tiger
12200115,reviewed,no,tiger
12200115,separated,no,tiger
12200115,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200127,highway,residential,regular
12200127,cfcc,A41,tiger
12200127,tlid,203261487,tiger
12200127,county,"Honolulu, HI",tiger
12200127,source,tiger_import_dch_v0.6_20070809,tiger
12200127,reviewed,no,tiger
12200127,separated,no,tiger
12200127,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200146,highway,service,regular
12200146,cfcc,A41,tiger
12200146,tlid,203336632,tiger
12200146,county,"Honolulu, HI",tiger
12200146,source,tiger_import_dch_v0.6_20070809,tiger
12200146,reviewed,no,tiger
12200146,separated,no,tiger
12200146,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200152,access,private,regular
12200152,highway,residential,regular
12200152,name,Manning Street,regular
12200152,cfcc,A41,tiger
12200152,county,"Honolulu, HI",tiger
12200152,name_base,Manning,tiger
12200152,name_type,St,tiger
12200152,reviewed,no,tiger
12200169,highway,residential,regular
12200169,cfcc,A41,tiger
12200169,tlid,203249130,tiger
12200169,county,"Honolulu, HI",tiger
12200169,source,tiger_import_dch_v0.6_20070809,tiger
12200169,reviewed,no,tiger
12200169,separated,no,tiger
12200169,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200193,highway,residential,regular
12200193,cfcc,A41,tiger
12200193,tlid,203252106,tiger
12200193,county,"Honolulu, HI",tiger
12200193,source,tiger_import_dch_v0.6_20070809,tiger
12200193,reviewed,no,tiger
12200193,separated,no,tiger
12200193,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200208,power,line,regular
12200208,cfcc,C20,tiger
12200208,tlid,203240061:203240058:203262860:203262861,tiger
12200208,county,"Honolulu, HI",tiger
12200208,source,tiger_import_dch_v0.6_20070809,tiger
12200208,reviewed,no,tiger
12200208,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12200231,highway,service,regular
12200241,highway,residential,regular
12200241,cfcc,A41,tiger
12200241,tlid,203251689,tiger
