id,key,value,type
110540011,highway,traffic_signals,regular
110540011,traffic_signals,signal,regular
110540326,highway,turning_circle,regular
110540436,highway,turning_circle,regular
110540471,highway,turning_circle,regular
110541001,highway,turning_circle,regular
110541136,highway,turning_circle,regular
110541162,highway,turning_circle,regular
110541463,highway,turning_circle,regular
110541553,access,private,regular
110541553,highway,turning_circle,regular
110541949,highway,traffic_signals,regular
110541949,traffic_signals,signal,regular
110542262,noexit,yes,regular
110542363,highway,traffic_signals,regular
110542404,highway,traffic_signals,regular
110542848,highway,traffic_signals,regular
110542870,highway,traffic_signals,regular
110544417,highway,traffic_signals,regular
110544417,traffic_signals,signal,regular
110544495,highway,turning_circle,regular
110544727,highway,traffic_signals,regular
110544727,traffic_signals,signal,regular
110544744,highway,traffic_signals,regular
110544744,traffic_signals,signal,regular
110544973,highway,traffic_signals,regular
110544973,traffic_signals,signal,regular
110545006,highway,traffic_signals,regular
110545006,traffic_signals,signal,regular
110545084,highway,traffic_signals,regular
110545084,traffic_signals,signal,regular
110545171,highway,turning_circle,regular
110545450,highway,turning_circle,regular
110545924,highway,traffic_signals,regular
110545924,traffic_signals,signal,regular
110545941,highway,traffic_signals,regular
110545941,traffic_signals,signal,regular
110545952,highway,traffic_signals,regular
110546244,highway,turning_circle,regular
110546579,highway,traffic_signals,regular
110546953,highway,turning_circle,regular
110547567,highway,turning_circle,regular
110547601,highway,turning_circle,regular
110548381,highway,traffic_signals,regular
110548381,traffic_signals,signal,regular
110548907,highway,traffic_signals,regular
110549198,highway,turning_circle,regular
110549519,highway,traffic_signals,regular
110549519,traffic_signals,signal,regular
110549558,highway,turning_circle,regular
110549704,highway,turning_circle,regular
110549875,highway,turning_circle,regular
110550623,highway,traffic_signals,regular
110550623,traffic_signals,signal,regular
110551115,highway,turning_circle,regular
110551353,highway,traffic_signals,regular
110552338,highway,turning_circle,regular
110552495,highway,turning_circle,regular
110553825,highway,traffic_signals,regular
110554631,source,Bing,regular
110554631,highway,turning_circle,regular
110555338,highway,traffic_signals,regular
110555640,highway,turning_circle,regular
110555710,highway,turning_circle,regular
110556132,highway,turning_circle,regular
110557019,highway,turning_circle,regular
110557634,highway,turning_circle,regular
110558371,highway,traffic_signals,regular
110558508,highway,traffic_signals,regular
110558538,highway,traffic_signals,regular
110558912,highway,turning_circle,regular
110559025,noexit,yes,regular
110559416,highway,traffic_signals,regular
110559416,traffic_signals,signal,regular
110559634,highway,turning_circle,regular
110559669,highway,traffic_signals,regular
110560181,highway,turning_circle,regular
110560519,highway,turning_circle,regular
110560785,highway,turning_circle,regular
110560785,source,Bing,regular
110560813,source,Bing,regular
110560813,highway,turning_circle,regular
110560933,highway,turning_circle,regular
110561037,highway,turning_circle,regular
110561648,highway,turning_circle,regular
110561863,highway,turning_circle,regular
110562246,highway,turning_circle,regular
110562336,highway,turning_circle,regular
110562471,highway,turning_circle,regular
110563907,highway,traffic_signals,regular
110564470,highway,turning_circle,regular
110565026,highway,turning_circle,regular
110565846,highway,traffic_signals,regular
110566043,highway,turning_circle,regular
110567654,highway,traffic_signals,regular
110567689,highway,turning_circle,regular
110568832,highway,turning_circle,regular
110568904,highway,turning_circle,regular
110568970,barrier,lift_gate,regular
110569367,highway,turning_circle,regular
110570586,highway,traffic_signals,regular
110570586,traffic_signals,signal,regular
110571780,highway,turning_circle,regular
110572319,highway,turning_circle,regular
110572319,source,Bing,regular
110572799,source,Yahoo,regular
110572799,highway,turning_circle,regular
110572900,highway,traffic_signals,regular
110572923,highway,turning_circle,regular
110573697,highway,traffic_signals,regular
110574096,highway,turning_circle,regular
110574946,highway,turning_circle,regular
110575017,highway,turning_circle,regular
110575262,highway,turning_circle,regular
110576222,highway,turning_circle,regular
110576355,highway,turning_circle,regular
110576854,highway,turning_circle,regular
110576941,highway,turning_circle,regular
110577282,highway,turning_circle,regular
110577292,highway,turning_circle,regular
110577438,highway,turning_circle,regular
110578967,ref,8B,regular
110578967,highway,motorway_junction,regular
110580406,highway,stop,regular
110580530,highway,turning_circle,regular
110580688,highway,turning_circle,regular
110580908,highway,turning_circle,regular
110580965,highway,turning_circle,regular
110581072,source,Bing,regular
110581072,highway,turning_circle,regular
110582708,source,Bing,regular
110582708,highway,turning_circle,regular
110582963,highway,turning_circle,regular
110583191,source,Bing,regular
110583191,highway,turning_circle,regular
110583218,highway,turning_circle,regular
110583242,highway,turning_circle,regular
110583571,highway,traffic_signals,regular
110583571,traffic_signals,signal,regular
110583792,highway,turning_circle,regular
110583881,highway,turning_circle,regular
110584168,highway,turning_circle,regular
110584203,highway,traffic_signals,regular
110584203,traffic_signals,signal,regular
110584218,highway,turning_circle,regular
110585632,highway,turning_circle,regular
110585856,highway,turning_circle,regular
110585856,source,Bing,regular
110586044,highway,turning_circle,regular
110586336,highway,traffic_signals,regular
110586336,traffic_signals,signal,regular
110586385,highway,traffic_signals,regular
110586404,highway,traffic_signals,regular
110587459,source,Bing,regular
110587459,highway,turning_circle,regular
110587504,highway,turning_circle,regular
110587798,highway,turning_circle,regular
110588284,highway,traffic_signals,regular
110588284,traffic_signals,signal,regular
110588405,highway,turning_circle,regular
110588483,highway,turning_circle,regular
110588673,highway,traffic_signals,regular
110588673,traffic_signals,signal,regular
110590139,highway,turning_circle,regular
110590248,highway,turning_circle,regular
110592246,highway,turning_circle,regular
110592774,highway,turning_circle,regular
110593221,source,Bing,regular
110593221,highway,turning_circle,regular
110593528,highway,traffic_signals,regular
110593845,highway,turning_circle,regular
110593917,highway,turning_circle,regular
110594253,noexit,yes,regular
110594481,highway,turning_circle,regular
110594660,highway,turning_circle,regular
110595207,highway,turning_circle,regular
110595253,highway,turning_circle,regular
110596796,highway,traffic_signals,regular
110596796,traffic_signals,signal,regular
110596887,highway,turning_circle,regular
110597537,highway,traffic_signals,regular
110597537,traffic_signals,signal,regular
110597673,highway,traffic_signals,regular
110597872,highway,turning_circle,regular
110598041,highway,traffic_signals,regular
110598041,traffic_signals,signal,regular
110600421,highway,traffic_signals,regular
110600421,traffic_signals,signal,regular
110600433,highway,traffic_signals,regular
110600457,highway,traffic_signals,regular
110600457,traffic_signals,signal,regular
110600847,highway,turning_circle,regular
110601772,highway,turning_circle,regular
110601944,highway,turning_circle,regular
110602071,highway,turning_circle,regular
110602391,highway,traffic_signals,regular
110602540,highway,traffic_signals,regular
110602540,traffic_signals,signal,regular
110602568,highway,traffic_signals,regular
110602568,traffic_signals,signal,regular
110602585,highway,traffic_signals,regular
110602585,traffic_signals,signal,regular
110603169,highway,turning_circle,regular
110604816,highway,traffic_signals,regular
110604904,highway,turning_circle,regular
110605065,noexit,yes,regular
110605730,highway,turning_loop,regular
110606167,highway,turning_circle,regular
110607814,highway,turning_circle,regular
110608018,highway,traffic_signals,regular
110608033,highway,traffic_signals,regular
110608754,source,Bing,regular
110608754,highway,turning_circle,regular
110609141,highway,turning_circle,regular
110609418,source,Yahoo,regular
110609418,highway,turning_circle,regular
110609445,noexit,yes,regular
110609476,noexit,yes,regular
110609626,highway,traffic_signals,regular
110609626,traffic_signals,signal,regular
110610051,highway,turning_circle,regular
110610378,highway,turning_circle,regular
110610472,highway,turning_circle,regular
110610472,source,Bing,regular
110610564,highway,turning_circle,regular
110611342,noexit,yes,regular
110611606,highway,turning_circle,regular
110611883,highway,stop,regular
110611947,highway,turning_circle,regular
110613186,highway,traffic_signals,regular
110614119,source,Bing,regular
110614119,highway,turning_circle,regular
110614342,highway,turning_circle,regular
110614459,highway,turning_circle,regular
110615023,highway,traffic_signals,regular
110615023,traffic_signals,signal,regular
110615191,highway,turning_circle,regular
110615475,highway,turning_circle,regular
110615783,highway,turning_circle,regular
110617054,highway,turning_circle,regular
110617152,highway,turning_circle,regular
110617304,highway,turning_circle,regular
110617444,highway,turning_circle,regular
110617489,highway,turning_circle,regular
110617918,highway,turning_circle,regular
110617979,highway,turning_circle,regular
